chapitre,libelle_fr,libelle_en,verifie,note
11,Placards et marquages,Placards and Markings,oui,
12,Servicing (entretien courant),Servicing,oui,
14,Non documenté avec certitude,Not confidently documented,non,"Code JASC rare hors nomenclature ATA-100 standard (00-12 general) ; a verifier contre la documentation FAA SDR avant publication"
21,Climatisation,Air Conditioning,oui,
22,Pilotage automatique,Auto Flight,oui,
23,Communications,Communications,oui,
24,Alimentation électrique,Electrical Power,oui,
25,Équipements et aménagements,Equipment/Furnishings,oui,
26,Protection incendie,Fire Protection,oui,
27,Commandes de vol,Flight Controls,oui,
28,Carburant,Fuel,oui,
29,Circuit hydraulique,Hydraulic Power,oui,
30,Protection givre et pluie,Ice and Rain Protection,oui,
31,Systèmes d'indication et d'enregistrement,Indicating/Recording Systems,oui,
32,Train d'atterrissage,Landing Gear,oui,
33,Éclairage,Lights,oui,
34,Navigation,Navigation,oui,
35,Oxygène,Oxygen,oui,
36,Circuit pneumatique,Pneumatic,oui,
37,Circuit de dépression (vide),Vacuum,oui,
38,Eau et déchets,Water/Waste,oui,
45,Système de maintenance centralisé,Central Maintenance System,oui,
49,Groupe auxiliaire de puissance (APU),Airborne Auxiliary Power,oui,
51,Pratiques standards structure,Standard Practices/Structures - General,oui,
52,Portes,Doors,oui,
53,Fuselage,Fuselage,oui,
54,Nacelles et mâts moteur,Nacelles/Pylons,oui,
55,Empennages,Stabilizers,oui,
56,Hublots et fenêtres,Windows,oui,
57,Voilure (ailes),Wings,oui,
61,Hélices,Propellers,partiel,"Chapitre normalement absent des jets A320/A330/A350 (pas d'helice) ; provient tres probablement des lignes helicopteres Airbus Helicopters presentes dans le filtre brut AircraftMake=AIRBUS, exclues du perimetre d'analyse"
62,Rotor principal (hélicoptère),Rotors,partiel,"Chapitre hélicoptère ; meme remarque que 61, hors perimetre A320/A330/A350"
63,Transmission du rotor (hélicoptère),Rotor Drive,partiel,"Chapitre hélicoptère ; meme remarque que 61, hors perimetre A320/A330/A350"
64,Rotor arrière (hélicoptère),Tail Rotor,partiel,"Chapitre hélicoptère ; meme remarque que 61, hors perimetre A320/A330/A350"
67,Commandes de vol du rotor (hélicoptère),Rotors Flight Control,partiel,"Chapitre hélicoptère ; meme remarque que 61, hors perimetre A320/A330/A350"
71,Groupe motopropulseur (généralités),Power Plant,oui,
72,Moteur (turbine),Engine (Turbine/Turboprop),oui,
73,Alimentation et régulation carburant moteur,Engine Fuel and Control,oui,
74,Allumage,Ignition,oui,
75,Air prélevé moteur (bleed air),Air,oui,
76,Commandes moteur,Engine Controls,oui,
77,Indication moteur,Engine Indicating,oui,
78,Échappement,Exhaust,oui,
79,Circuit d'huile moteur,Oil,oui,
80,Démarrage,Starting,oui,
83,Boîtiers d'accessoires,Accessory Gear Boxes,oui,
