abreviation,signification
IAW,In Accordance With (conformément à)
AMM,Aircraft Maintenance Manual (manuel de maintenance de l'avion)
R&R,Removed and Replaced (déposé et remplacé)
C/W,Complied With (effectué / réalisé conformément à une exigence)
C/A,Corrective Action (action corrective)
NDT,Non-Destructive Testing (contrôle non destructif)
INSP,Inspection
REPL,Replaced (remplacé)
OPS CK,Operational Check (contrôle de bon fonctionnement)
PN,Part Number (référence de la pièce)
SN,Serial Number (numéro de série)
LH,Left Hand (côté gauche)
RH,Right Hand (côté droit)
INOP,Inoperative (hors service)
FC,Flight Cycles (cycles de vol)
FH,Flight Hours (heures de vol)
A/C,Aircraft (avion)
DISC,Discrepancy (anomalie constatée)
LP,Log Page (numéro de page du carnet de bord/log de maintenance)
W/O,Work Order (ordre de travail)
OK,Conforme / bon état
GND,Ground (au sol)
EA,Each (chacun)
ECAM,Electronic Centralised Aircraft Monitor (système de surveillance électronique centralisé chez Airbus)
MEL,Minimum Equipment List (liste minimale d'équipements)
