code,libelle,verifie,note
O,Non documenté,non,"Code le plus frequent (73% des lignes) ; tres probablement un code generique type 'Autre/Other', mais non confirme par une source FAA officielle"
J,Non documenté,non,
L,Non documenté,non,
B,Non documenté,non,
N,Non documenté,non,
K,Non documenté,non,
P,Non documenté,non,
W,Non documenté,non,
E,Non documenté,non,
F,Non documenté,non,
C,Non documenté,non,
M,Non documenté,non,
R,Non documenté,non,
S,Non documenté,non,
G,Non documenté,non,
A,Non documenté,non,
Y,Non documenté,non,
D,Non documenté,non,
Z,Non documenté,non,
H,Non documenté,non,
X,Non documenté,non,
I,Non documenté,non,
